Project_ID,Title,Abstract,Domain,Sub_Domain,Keywords,Objectives,Problem_Statement,Methodology,Modules,Technologies,Algorithms,Dataset_Used,Programming_Languages,Frameworks,Tools,Hardware,Expected_Output,GitHub_Link,Paper_Link,Authors,Institution,Year,Source,Publication_Type,Faculty_Label,Notes
P000001,BERT,"BERT is an open-source project focused on natural language processing. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Natural Language Processing, Transformer encoder, TensorFlow","Develop and evaluate a reliable natural language processing solution that can be reproduced, extended and integrated into real applications.","Existing natural language processing solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Wikipedia and BookCorpus; preprocess the inputs; apply Transformer encoder; train, configure or execute the system using TensorFlow; and evaluate the outputs with task-appropriate metrics.",data ingestion; tokenization; model training; fine-tuning; evaluation,"Git, Python, TensorFlow",Transformer encoder,Wikipedia and BookCorpus,Python,TensorFlow,Git,N/A,"A working natural language processing system with reproducible results, documented configuration and measurable output.",https://github.com/google-research/bert,https://arxiv.org/abs/1810.04805,BERT contributors,Google Research,2018,https://github.com/google-research/bert,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000002,T5,"T5 is an open-source project focused on natural language processing. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Natural Language Processing, Text-to-text Transformer, TensorFlow","Develop and evaluate a reliable natural language processing solution that can be reproduced, extended and integrated into real applications.","Existing natural language processing solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load C4 and GLUE; preprocess the inputs; apply Text-to-text Transformer; train, configure or execute the system using TensorFlow; and evaluate the outputs with task-appropriate metrics.",data ingestion; tokenization; model training; fine-tuning; evaluation,"Git, Python, TensorFlow",Text-to-text Transformer,C4 and GLUE,Python,TensorFlow,Git,N/A,"A working natural language processing system with reproducible results, documented configuration and measurable output.",https://github.com/google-research/text-to-text-transfer-transformer,https://arxiv.org/abs/1910.10683,T5 contributors,Google Research,2019,https://github.com/google-research/text-to-text-transfer-transformer,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000003,Sentence Transformers,"Sentence Transformers is an open-source project focused on semantic text representation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Semantic Text Representation, Siamese Transformer networks, PyTorch","Develop and evaluate a reliable semantic text representation solution that can be reproduced, extended and integrated into real applications.","Existing semantic text representation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load STS and NLI datasets; preprocess the inputs; apply Siamese Transformer networks; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python, Transformers",Siamese Transformer networks,STS and NLI datasets,Python,"PyTorch, Transformers",Git,N/A,"A working semantic text representation system with reproducible results, documented configuration and measurable output.",https://github.com/UKPLab/sentence-transformers,https://arxiv.org/abs/1908.10084,Sentence Transformers contributors,UKP Lab,2019,https://github.com/UKPLab/sentence-transformers,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000004,Transformers,"Transformers is an open-source project focused on multimodal foundation models. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Multimodal Foundation Models, Transformer architectures, PyTorch, TensorFlow, JAX","Develop and evaluate a reliable multimodal foundation models solution that can be reproduced, extended and integrated into real applications.","Existing multimodal foundation models solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Multiple public datasets; preprocess the inputs; apply Transformer architectures; train, configure or execute the system using PyTorch, TensorFlow, JAX; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, JAX, PyTorch, Python, TensorFlow, Transformers",Transformer architectures,Multiple public datasets,Python,"PyTorch, TensorFlow, Transformers",Git,N/A,"A working multimodal foundation models system with reproducible results, documented configuration and measurable output.",https://github.com/huggingface/transformers,N/A,Transformers contributors,Hugging Face,2018,https://github.com/huggingface/transformers,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000005,spaCy,"spaCy is an open-source project focused on industrial nlp. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Industrial NLP, Statistical NLP pipelines, Python, Cython","Develop and evaluate a reliable industrial nlp solution that can be reproduced, extended and integrated into real applications.","Existing industrial nlp solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load OntoNotes and language corpora; preprocess the inputs; apply Statistical NLP pipelines; train, configure or execute the system using Python, Cython; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Cython, FastAPI, Git, Python",Statistical NLP pipelines,OntoNotes and language corpora,Python,FastAPI,Git,N/A,"A working industrial nlp system with reproducible results, documented configuration and measurable output.",https://github.com/explosion/spaCy,N/A,spaCy contributors,Explosion,2015,https://github.com/explosion/spaCy,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000006,Gensim,"Gensim is an open-source project focused on topic modeling. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Topic Modeling, Word2Vec, Doc2Vec, LDA, Python, NumPy","Develop and evaluate a reliable topic modeling solution that can be reproduced, extended and integrated into real applications.","Existing topic modeling solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Text corpora; preprocess the inputs; apply Word2Vec, Doc2Vec, LDA; train, configure or execute the system using Python, NumPy; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, NumPy, Python","Word2Vec, Doc2Vec, LDA",Text corpora,Python,FastAPI,Git,N/A,"A working topic modeling system with reproducible results, documented configuration and measurable output.",https://github.com/piskvorky/gensim,https://arxiv.org/abs/1405.4053,Gensim contributors,RaRe Technologies,2009,https://github.com/piskvorky/gensim,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000007,AllenNLP,"AllenNLP is an open-source project focused on nlp research framework. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"NLP Research Framework, Neural NLP models, PyTorch","Develop and evaluate a reliable nlp research framework solution that can be reproduced, extended and integrated into real applications.","Existing nlp research framework solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Multiple NLP datasets; preprocess the inputs; apply Neural NLP models; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Neural NLP models,Multiple NLP datasets,Python,PyTorch,Git,N/A,"A working nlp research framework system with reproducible results, documented configuration and measurable output.",https://github.com/allenai/allennlp,N/A,AllenNLP contributors,Allen Institute for AI,2017,https://github.com/allenai/allennlp,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000008,Fairseq,"Fairseq is an open-source project focused on sequence modeling. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Sequence Modeling, Transformer, convolutional sequence models, PyTorch","Develop and evaluate a reliable sequence modeling solution that can be reproduced, extended and integrated into real applications.","Existing sequence modeling solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load WMT and speech datasets; preprocess the inputs; apply Transformer, convolutional sequence models; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python","Transformer, convolutional sequence models",WMT and speech datasets,Python,PyTorch,Git,N/A,"A working sequence modeling system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/fairseq,https://arxiv.org/abs/1904.01038,Fairseq contributors,Meta AI Research,2017,https://github.com/facebookresearch/fairseq,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000009,DeepSpeed,"DeepSpeed is an open-source project focused on distributed deep learning. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Deep Learning,"Distributed Deep Learning, ZeRO optimization, PyTorch, CUDA","Develop and evaluate a reliable distributed deep learning solution that can be reproduced, extended and integrated into real applications.","Existing distributed deep learning solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load User-provided large-scale datasets; preprocess the inputs; apply ZeRO optimization; train, configure or execute the system using PyTorch, CUDA; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"CUDA, Git, PyTorch, Python",ZeRO optimization,User-provided large-scale datasets,Python,PyTorch,Git,N/A,"A working distributed deep learning system with reproducible results, documented configuration and measurable output.",https://github.com/microsoft/DeepSpeed,https://arxiv.org/abs/1910.02054,DeepSpeed contributors,Microsoft Research,2020,https://github.com/microsoft/DeepSpeed,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000010,Megatron-LM,"Megatron-LM is an open-source project focused on large language model training. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Large Language Model Training, Tensor, pipeline parallelism, PyTorch, CUDA","Develop and evaluate a reliable large language model training solution that can be reproduced, extended and integrated into real applications.","Existing large language model training solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Large text corpora; preprocess the inputs; apply Tensor and pipeline parallelism; train, configure or execute the system using PyTorch, CUDA; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"CUDA, Git, PyTorch, Python",Tensor and pipeline parallelism,Large text corpora,Python,PyTorch,Git,N/A,"A working large language model training system with reproducible results, documented configuration and measurable output.",https://github.com/NVIDIA/Megatron-LM,https://arxiv.org/abs/1909.08053,Megatron-LM contributors,NVIDIA,2019,https://github.com/NVIDIA/Megatron-LM,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
