Taxonomy_ID,Domain,Sub_Domain,Topic,Parent_Topic,Description,Common_Keywords,Related_Keywords,Technologies,Algorithms,Programming_Languages,Frameworks,Libraries,Hardware,Typical_Datasets,Research_Areas,Application_Areas,Difficulty_Level,Industry,Emerging_Topic,Trend_Level,Related_Domains,Source,Notes
AE-0001,Artificial Intelligence,Expert Systems,Rule-Based Systems,Expert Systems,Systems emulating expert decision-making using if-then rules and inference engines.,"expert system,rule-based,inference engine,knowledge base,production rules","forward chaining,backward chaining,knowledge acquisition,Prolog,CLIPS","Python, Prolog, Java","Forward Chaining,Backward Chaining,Rete Algorithm","Python,Prolog,Java","CLIPS,Jess","experta, pyke",,"UCI Repository,Domain Expert Interviews","Knowledge Engineering,Automated Reasoning","Medical Diagnosis,Legal Reasoning,Financial Advisory",Intermediate,Cross-Industry,No,Medium,"Machine Learning,Knowledge Representation",AcadEval Research Team,
AE-0002,Artificial Intelligence,Expert Systems,Fuzzy Logic Systems,Expert Systems,AI systems using fuzzy logic to handle uncertainty and approximate reasoning.,"fuzzy logic,membership function,fuzzy set,linguistic variable,defuzzification","crisp set,Mamdani,Takagi-Sugeno,fuzzy inference,uncertainty","Python, MATLAB","Mamdani Inference,Sugeno Inference,Centroid Defuzzification","Python,MATLAB",scikit-fuzzy,"numpy, scikit-fuzzy",,Fuzzy benchmark datasets,"Uncertainty Modeling,Control Systems","HVAC Control,Medical Diagnosis,Traffic Control",Intermediate,"Engineering,Healthcare",No,Medium,"Machine Learning,Control Systems",AcadEval Research Team,
AE-0003,Artificial Intelligence,Expert Systems,Ontology Engineering,Expert Systems,Design and implementation of formal ontologies for knowledge representation.,"ontology,OWL,RDF,SPARQL,Protege,semantic web,taxonomy","knowledge graph,linked data,schema,concept hierarchy,triple store","Python, Java","SPARQL Query Processing,Reasoner Algorithms","Python,Java",Apache Jena,"owlready2, rdflib",,"DBpedia,Wikidata,WordNet","Knowledge Representation,Semantic Web","Healthcare Ontologies,Legal Ontologies,Scientific Knowledge Bases",Advanced,Cross-Industry,No,Medium,"Knowledge Graphs,NLP",AcadEval Research Team,
AE-0004,Artificial Intelligence,Knowledge Representation,Knowledge Graphs,Knowledge Representation,Graph-based structures representing entities and relationships for AI reasoning.,"knowledge graph,entity,relation,triple,embedding,graph database","entity linking,relation extraction,GNN,Wikidata,Neo4j,link prediction","Python, Java","TransE,RotatE,ComplEx,DistMult,GAT",Python,"PyTorch Geometric,DGL","rdflib, networkx, py2neo",,"Freebase,Wikidata,DBpedia,YAGO","Entity Resolution,Relation Extraction,Link Prediction","Question Answering,Recommendation,Drug Discovery,Fraud Detection",Advanced,"Tech,Healthcare,Finance",Yes,High,"NLP,Deep Learning,Semantic Web",AcadEval Research Team,
AE-0005,Artificial Intelligence,Knowledge Representation,Common Sense Reasoning,Knowledge Representation,AI systems reasoning about everyday situations using background knowledge.,"common sense,ConceptNet,reasoning,background knowledge,inference","physical reasoning,social reasoning,temporal reasoning,event modeling",Python,"Spreading Activation,Path-based Reasoning",Python,Hugging Face Transformers,ConceptNet library,,"ConceptNet,VisualCOMET,ATOMIC","Grounded Language Understanding,Commonsense NLP","Chatbots,Story Understanding,Robotics,Virtual Assistants",Expert,Tech,Yes,High,"NLP,Cognitive Computing,Robotics",AcadEval Research Team,
AE-0006,Artificial Intelligence,Planning & Reasoning,Automated Planning,Planning & Reasoning,AI techniques generating action sequences to achieve goals from initial states.,"STRIPS,PDDL,planning domain,goal state,action space,planner","task planning,classical planning,temporal planning,hierarchical planning","Python, Lisp","A* Search,HTN Planning,LAMA,FF Planner","Python,Lisp",unified-planning,pyperplan,,IPC Benchmark Domains,"Task and Motion Planning,Multi-Agent Planning","Robotics,Game AI,Logistics,Manufacturing Scheduling",Advanced,"Robotics,Logistics",No,Medium,"Robotics,Machine Learning",AcadEval Research Team,
AE-0007,Artificial Intelligence,Planning & Reasoning,Constraint Satisfaction,Planning & Reasoning,Solving problems by finding assignments satisfying all given constraints.,"CSP,constraint,backtracking,arc consistency,variable,domain","propagation,local search,SAT solver,CLP,scheduling","Python, Prolog","Backtracking,AC-3,Min-Conflicts,Forward Checking",Python,OR-Tools,"python-constraint, z3-solver",,Benchmark CSP instances,"Combinatorial Optimization,Scheduling","Timetabling,Resource Allocation,Circuit Design",Advanced,"Operations,Engineering",No,Medium,"Operations Research,Machine Learning",AcadEval Research Team,
AE-0008,Artificial Intelligence,AI Ethics & Fairness,Bias Detection and Mitigation,AI Ethics & Fairness,Methods for identifying and reducing algorithmic bias in AI systems.,"bias,fairness,discrimination,protected attribute,equalized odds","disparate impact,demographic parity,calibration,algorithmic fairness",Python,"Reweighing,Adversarial Debiasing,Calibrated Equalized Odds",Python,scikit-learn,"AIF360, Fairlearn",,"Adult Income,COMPAS,German Credit","Algorithmic Fairness,Responsible AI,Model Auditing","Hiring Algorithms,Criminal Justice,Credit Scoring,Healthcare",Intermediate,Cross-Industry,Yes,High,"Machine Learning,Data Science,HCI",AcadEval Research Team,
AE-0009,Artificial Intelligence,Explainable AI,Feature Attribution Methods,Explainable AI,Techniques explaining model predictions by attributing importance to features.,"XAI,SHAP,LIME,feature importance,interpretability,attribution","saliency map,integrated gradients,attention visualization,Grad-CAM",Python,"SHAP,LIME,ANCHOR,Integrated Gradients",Python,"scikit-learn,PyTorch,TensorFlow","shap, lime, captum",,"Tabular,Image,Text benchmark datasets","Interpretable ML,Human-Centered AI,Model Debugging","Medical AI,Financial Compliance,Autonomous Vehicles,Legal AI",Advanced,Cross-Industry,Yes,High,"Machine Learning,Deep Learning,AI Ethics",AcadEval Research Team,
AE-0010,Artificial Intelligence,Explainable AI,Counterfactual Explanations,Explainable AI,Generating what-if scenarios to explain AI model decisions.,"counterfactual,what-if,causal,recourse,decision boundary","contrastive explanation,actionable recourse,nearest counterfactual",Python,"DiCE,Growing Spheres,MACE,Wachter",Python,scikit-learn,"DiCE, alibi",,"Adult Income,German Credit,HELOC","Causal Inference,Human-Centered AI","Credit Scoring,Healthcare,Insurance,Hiring",Advanced,"Finance,Healthcare",Yes,High,"Machine Learning,AI Ethics,Causal Inference",AcadEval Research Team,
