name,category,aliases,first_seen_year,description
ResNet,Algorithm,ResNet-50|ResNet-101|ResNet-18|Residual Network,2015,Deep residual neural network with skip connections for computer vision.
YOLO,Algorithm,YOLOv5|YOLOv8|YOLOv9|YOLOv10|You Only Look Once,2016,Real-time single-stage object detection model.
BERT,Algorithm,BioBERT|ClinicalBERT|RoBERTa|DeBERTa,2018,Bidirectional Encoder Representations from Transformers for NLP.
GPT-4,Algorithm,GPT4|GPT-4o|Generative Pre-trained Transformer 4,2023,Large-scale multimodal generative language model.
LLaMA,Algorithm,LLaMA-2|LLaMA-3|Llama3,2023,Open-weight foundational large language model by Meta.
Stable Diffusion,Algorithm,SDXL|Latent Diffusion|DDPM,2022,Latent text-to-image diffusion model.
Vision Transformer,Algorithm,ViT|Swin Transformer,2020,Transformer architecture applied directly to image patches.
Graph Convolutional Network,Algorithm,GCN|Graph Convolution,2016,Convolutional neural network for graph-structured data.
Graph Attention Network,Algorithm,GAT|Graph Attention,2017,Attention-based neural network operating on graphs.
Mask R-CNN,Algorithm,MaskRCNN,2017,Instance segmentation model extending Faster R-CNN.
Random Forest,Algorithm,RandomForest|RF Classifier,2001,Ensemble learning method combining decision trees.
XGBoost,Algorithm,Extreme Gradient Boosting|XGB,2014,Optimized distributed gradient boosting library.
LightGBM,Algorithm,LGBM,2016,Gradient boosting framework that uses tree based learning algorithms.
CatBoost,Algorithm,Categorical Boosting,2017,Gradient boosting algorithm tailored for categorical features.
SVM,Algorithm,Support Vector Machine|SVR,1995,Supervised learning model for classification and regression.
LSTM,Algorithm,Long Short-Term Memory|Bi-LSTM,1997,Recurrent neural network architecture for sequential data.
GRU,Algorithm,Gated Recurrent Unit,2014,Streamlined recurrent neural network variant.
Isolation Forest,Algorithm,iForest,2008,Unsupervised anomaly detection algorithm based on isolation.
DBSCAN,Algorithm,Density-Based Spatial Clustering,1996,Density-based spatial clustering of applications with noise.
k-Means,Algorithm,KMeans|K-Means Clustering,1967,Partitioning algorithm dividing data into k clusters.
A* Search,Algorithm,A-Star|AStar,1968,Graph traversal and path search algorithm.
