topic_id,domain,sub_domain,topic_name,year,paper_count,citation_count,influential_count,top_venues,trending_score,source,fetched_at
T0001,Artificial Intelligence,Deep Learning,deep learning,2015,57785,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2016,69009,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2017,83797,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2018,104361,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2019,134036,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2020,167211,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2021,207446,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2022,244208,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2023,291525,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2024,334531,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0001,Artificial Intelligence,Deep Learning,deep learning,2025,401852,0,0,,0.661,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2015,87027,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2016,93786,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2017,102332,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2018,111680,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2019,123870,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2020,135869,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2021,155469,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2022,166554,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2023,195515,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2024,205215,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0002,Artificial Intelligence,Generative AI,large language models,2025,247338,0,0,,0.4153,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2015,203287,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2016,246450,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2017,285376,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2018,351765,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2019,418798,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2020,461843,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2021,511859,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2022,580552,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2023,613279,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2024,683965,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0003,Natural Language Processing,NLP,natural language processing,2025,808360,0,0,,0.3547,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2015,3150,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2016,3516,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2017,3722,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2018,4098,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2019,4420,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2020,5292,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2021,6919,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2022,9991,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2023,15405,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2024,20444,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0004,Natural Language Processing,Large Language Models,transformer BERT GPT,2025,26861,0,0,,1.8245,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2015,96314,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2016,103929,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2017,114010,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2018,130737,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2019,147935,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2020,164745,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2021,189041,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2022,212178,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2023,233882,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2024,256288,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0005,Computer Vision,Image Recognition,image recognition convolutional,2025,277215,0,0,,0.3559,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2015,46101,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2016,49576,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2017,53497,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2018,60342,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2019,68521,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2020,77705,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2021,90043,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2022,104306,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2023,120514,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2024,144217,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0006,Computer Vision,Object Detection,object detection YOLO,2025,178743,0,0,,0.6301,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2015,49482,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2016,56808,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2017,71705,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2018,89030,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2019,115481,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2020,145330,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2021,183400,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2022,217059,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2023,262851,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2024,303621,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0007,Machine Learning,Reinforcement Learning,reinforcement learning,2025,367057,0,0,,0.7104,CrossRef API,2026-07-24T14:23:30.355663
T0008,Machine Learning,Federated Learning,federated learning,2015,48723,0,0,,0.7182,CrossRef API,2026-07-24T14:23:30.355663
T0008,Machine Learning,Federated Learning,federated learning,2016,55875,0,0,,0.7182,CrossRef API,2026-07-24T14:23:30.355663
T0008,Machine Learning,Federated Learning,federated learning,2017,70505,0,0,,0.7182,CrossRef API,2026-07-24T14:23:30.355663
T0008,Machine Learning,Federated Learning,federated learning,2018,87620,0,0,,0.7182,CrossRef API,2026-07-24T14:23:30.355663
T0008,Machine Learning,Federated Learning,federated learning,2019,113834,0,0,,0.7182,CrossRef API,2026-07-24T14:23:30.355663
