Pair_ID,Project_A_ID,Project_B_ID,Project_A_Title,Project_B_Title,Project_A_Abstract,Project_B_Abstract,Project_A_Features,Project_B_Features,Project_A_Keywords,Project_B_Keywords,SBERT_Similarity,TFIDF_Similarity,Cosine_Similarity,Faculty_Label,AI_Label,Similarity_Category,Reviewer_Name,Review_Date,Comments
SB0001,PRJ0073,PRJ0074,Real-time Food Order Tracking Application,Campus Food Ordering and Delivery App,This app allows users to place food orders and track the delivery agent's location live.,A mobile app that lets students order food from campus canteens and track delivery in real time.,React Native; Node.js; Socket.io,Flutter; Firebase; Maps API,"food ordering, order tracking, real-time, delivery app","food delivery, campus app, flutter, ordering",0.863,0.833,0.953,Similar,Similar,Duplicate / Near-Duplicate,Prof. L. Fernandes,2026-03-27,Very close match; core methodology is identical.
SB0002,PRJ0041,PRJ0042,Automated Candidate-Job Matching System,AI-based Resume Screening and Matching Tool,A system that scores and ranks resumes for a given job posting using text similarity techniques.,This tool ranks candidate resumes against a job description using NLP-based keyword and semantic matching.,TF-IDF; BERT Embeddings; Web Dashboard,spaCy NER; Cosine Similarity; Flask,"candidate matching, job matching, resume ranking, nlp","resume screening, matching, nlp, hr automation",0.935,0.788,0.846,Similar,Similar,Duplicate / Near-Duplicate,Prof. S. Iyer,2026-02-23,Essentially the same project with a different title.
SB0003,PRJ0062,PRJ0072,Password Strength and Breach Checker Tool,Ransomware Behaviour Detection using File Monitoring,A tool that evaluates password strength and checks it against known data-breach databases.,A tool that monitors file-system activity to detect the rapid mass encryption typical of ransomware attacks.,Regex Rules; Have I Been Pwned API,File System Hooks; ML Classifier,"password strength, breach check, security tool, validation","ransomware detection, file monitoring, ml, endpoint security",0.668,0.42,0.503,Partially Similar,Different,Same-Domain Variant,Dr. V. Nair,2026-03-30,Shares a tech stack but solves a different use case.
SB0004,PRJ0083,PRJ0022,Real-time Pollution Level Tracking Device,Smart Waste Bin Fill-Level Monitoring System,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,This IoT system tracks how full public waste bins are and alerts collection teams when they need emptying.,Gas Sensors; ESP32; Mobile Alert,Ultrasonic Sensor; IoT Cloud; Dashboard,"pollution tracking, real-time, iot device, air monitoring","waste management, iot, fill-level, smart bin",0.648,0.464,0.605,Partially Similar,Partially Similar,Same-Domain Variant,Dr. R. Kumar,2026-07-20,"Related field, distinct core idea — not a duplicate."
SB0005,PRJ0002,PRJ0001,Medication Safety Interaction Alert System,Drug Interaction Checker for Pharmacists,This system checks a patient's prescription list and alerts pharmacists to unsafe drug combinations.,A tool that flags potentially dangerous interactions between multiple prescribed medicines.,Drug Database API; Alert Dashboard,Rule Engine; Drug Database API,"medication safety, interaction alert, pharmacy, prescriptions","drug interaction, pharmacy tool, medicine safety, rule engine",0.936,0.838,0.891,Similar,Similar,Duplicate / Near-Duplicate,Dr. A. Sharma,2025-08-13,Near-duplicate concept; recommend flagging for review.
SB0006,PRJ0014,PRJ0017,Agricultural Yield Forecasting System,Wearable Vitals Tracking System with Cloud Sync,"A forecasting tool that estimates farm output based on rainfall, temperature, and soil quality data.",This wearable tracks vital signs in real time and syncs the data to a cloud dashboard for doctors to view.,Linear Regression; Soil Data; Dashboard,SpO2 Sensor; ESP32; Firebase,"yield forecasting, agriculture, weather data, ml","vitals tracking, wearable, cloud sync, patient monitoring",0.255,0.135,0.118,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2025-09-04,Different tech stack and different target use case.
SB0007,PRJ0080,PRJ0019,Adaptive Traffic Light Management using Computer Vision,Real-time Virtual Replica of Industrial Process,A traffic light system that adapts green-light duration based on live traffic density analysis.,This project creates a digital twin of an industrial process to test changes virtually before applying them.,OpenCV; Vehicle Counting; Microcontroller,3D Simulation; Sensor Integration; Dashboard,"adaptive traffic light, vehicle counting, opencv, management","virtual replica, industrial simulation, digital twin, real-time",0.453,0.34,0.649,Partially Similar,Partially Similar,Same-Domain Variant,Prof. L. Fernandes,2025-08-12,"Related field, distinct core idea — not a duplicate."
SB0008,PRJ0011,PRJ0060,Live Video Multi-Object Recognition System,Conflict-free Class Schedule Optimizer,This project identifies and tracks multiple objects live from a camera feed using a deep learning detector.,"This system automatically creates an optimized, conflict-free timetable given faculty and room constraints.",YOLOv5; Deep Learning; Video Stream,Constraint Satisfaction Solver; Flask,"multi-object recognition, live detection, deep learning, tracking","schedule optimization, timetable, constraint solver, education",0.034,0.028,0.279,Different,Partially Similar,Cross-Domain Distinct,Dr. R. Kumar,2025-10-31,No similarity concerns; clearly distinct projects.
SB0009,PRJ0032,PRJ0060,Chest X-ray based Lung Disease Classifier,Conflict-free Class Schedule Optimizer,This project uses a CNN to classify chest X-rays for common lung conditions including pneumonia.,"This system automatically creates an optimized, conflict-free timetable given faculty and room constraints.",VGG16 Transfer Learning; TensorFlow,Constraint Satisfaction Solver; Flask,"lung disease, x-ray classification, cnn, transfer learning","schedule optimization, timetable, constraint solver, education",0.07,0.043,0.078,Different,Different,Cross-Domain Distinct,Prof. T. Joseph,2026-01-27,No meaningful overlap between the two projects.
SB0010,PRJ0077,PRJ0059,Automated Essay Scoring System using NLP,Automated Timetable Generator using Genetic Algorithm,This tool automatically scores free-text student answers using NLP-based semantic similarity to a model answer.,A tool that generates a conflict-free class timetable for a department automatically.,BERT; Sentence Similarity; Flask,Genetic Algorithm; Python; Web UI,"auto grading, essay scoring, nlp, bert","timetable generation, genetic algorithm, scheduling, automation",0.411,0.477,0.648,Partially Similar,Partially Similar,Same-Domain Variant,Dr. A. Sharma,2026-02-03,Partial conceptual overlap; not flagged as duplicate.
SB0011,PRJ0056,PRJ0038,Peer-to-Peer Used Goods Trading Platform,AI-based Student Wellbeing Check-in Assistant,This web app allows students to trade used items like books and electronics among themselves.,This assistant conducts regular wellbeing check-ins with students and flags signs of distress to counselors.,React; Node.js; Messaging Feature,Sentiment Analysis; LLM; Mobile App,"peer-to-peer, used goods, trading platform, marketplace","wellbeing, student support, sentiment analysis, mental health",0.118,0.011,0.237,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2025-09-02,Different tech stack and different target use case.
SB0012,PRJ0077,PRJ0075,Automated Essay Scoring System using NLP,Assignment Originality Checker using NLP,This tool automatically scores free-text student answers using NLP-based semantic similarity to a model answer.,A system that detects paraphrased or copied text in student assignments using semantic similarity.,BERT; Sentence Similarity; Flask,SBERT Embeddings; Similarity Threshold Rules,"auto grading, essay scoring, nlp, bert","originality checker, plagiarism, nlp, assignments",0.253,0.208,0.123,Different,Different,Cross-Domain Distinct,Prof. L. Fernandes,2026-05-07,No meaningful overlap between the two projects.
SB0013,PRJ0062,PRJ0063,Password Strength and Breach Checker Tool,Plant Leaf Disease Detection using CNN,A tool that evaluates password strength and checks it against known data-breach databases.,A mobile-friendly tool that classifies plant leaf photographs to identify common crop diseases early.,Regex Rules; Have I Been Pwned API,CNN; TensorFlow; Transfer Learning; Mobile App,"password strength, breach check, security tool, validation","plant disease, cnn, leaf classification, agriculture",0.275,0.166,0.21,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2025-10-29,Completely different domain and objective.
SB0014,PRJ0046,PRJ0074,Online Shopping Platform with Payment Gateway,Campus Food Ordering and Delivery App,"This web app lets customers browse products, add to cart, and pay securely online.",A mobile app that lets students order food from campus canteens and track delivery in real time.,Django; Razorpay API; PostgreSQL,Flutter; Firebase; Maps API,"online shopping, payment gateway, django, cart","food delivery, campus app, flutter, ordering",0.645,0.347,0.586,Partially Similar,Partially Similar,Same-Domain Variant,Prof. M. Reddy,2026-04-03,Partial conceptual overlap; not flagged as duplicate.
SB0015,PRJ0072,PRJ0075,Ransomware Behaviour Detection using File Monitoring,Assignment Originality Checker using NLP,A tool that monitors file-system activity to detect the rapid mass encryption typical of ransomware attacks.,A system that detects paraphrased or copied text in student assignments using semantic similarity.,File System Hooks; ML Classifier,SBERT Embeddings; Similarity Threshold Rules,"ransomware detection, file monitoring, ml, endpoint security","originality checker, plagiarism, nlp, assignments",0.045,0.029,0.278,Different,Partially Similar,Cross-Domain Distinct,Dr. V. Nair,2026-01-15,Completely different domain and objective.
SB0016,PRJ0063,PRJ0091,Plant Leaf Disease Detection using CNN,Face Recognition Based Attendance System,A mobile-friendly tool that classifies plant leaf photographs to identify common crop diseases early.,"An automated system that marks student attendance by recognising faces from a classroom camera feed, removing the need for manual roll calls.",CNN; TensorFlow; Transfer Learning; Mobile App,OpenCV; face_recognition; SQLite; Python,"plant disease, cnn, leaf classification, agriculture","face recognition, attendance, opencv, biometric",0.162,0.102,0.062,Different,Partially Similar,Cross-Domain Distinct,Dr. V. Nair,2026-07-02,No meaningful overlap between the two projects.
SB0017,PRJ0040,PRJ0039,Phishing URL Detection using Machine Learning,ML-based Malicious Website Identifier,A browser tool that classifies URLs as phishing or legitimate using engineered features and a trained classifier.,"This project flags malicious/phishing websites in real time as a user browses, using a trained ML model.",Random Forest; URL Feature Extraction; Chrome Extension,Logistic Regression; Feature Engineering; Browser Plugin,"phishing, url classification, machine learning, security","malicious website detection, phishing, ml, browser plugin",0.898,0.791,0.771,Similar,Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2025-10-07,Very close match; core methodology is identical.
SB0018,PRJ0075,PRJ0026,Assignment Originality Checker using NLP,Web Application Firewall Prototype against Injection Attacks,A system that detects paraphrased or copied text in student assignments using semantic similarity.,This project builds a lightweight firewall that filters malicious SQL/script injection attempts on a web app.,SBERT Embeddings; Similarity Threshold Rules,Pattern Matching; Request Filtering,"originality checker, plagiarism, nlp, assignments","web application firewall, injection attack, security prototype, filtering",0.1,0.105,0.124,Different,Different,Cross-Domain Distinct,Prof. M. Reddy,2025-11-24,No similarity concerns; clearly distinct projects.
SB0019,PRJ0086,PRJ0058,Line Following Robot using IR Sensors,AI-based Online Exam Proctoring System,A basic autonomous robot that follows a marked line on the floor using infrared sensors.,A system that monitors students during online exams using face and eye-tracking to flag suspicious behaviour.,IR Sensor; Arduino Uno; DC Motors,Face Detection; Eye Tracking; Alert Logging,"line following, robot, ir sensor, arduino","proctoring, online exam, face detection, monitoring",0.198,0.135,0.145,Different,Different,Cross-Domain Distinct,Prof. S. Iyer,2026-03-05,Unrelated problem statements; safe to treat as distinct.
SB0020,PRJ0086,PRJ0064,Line Following Robot using IR Sensors,Crop Disease Identification from Leaf Images,A basic autonomous robot that follows a marked line on the floor using infrared sensors.,This project detects diseases in crops by analysing leaf images captured on a farmer's smartphone.,IR Sensor; Arduino Uno; DC Motors,MobileNet; Keras; Android App,"line following, robot, ir sensor, arduino","crop disease, image classification, smartphone, farming",0.172,0.161,0.16,Different,Different,Cross-Domain Distinct,Prof. S. Iyer,2026-06-24,Different tech stack and different target use case.
SB0021,PRJ0017,PRJ0089,Wearable Vitals Tracking System with Cloud Sync,IoT-based Smart Parking Availability System,This wearable tracks vital signs in real time and syncs the data to a cloud dashboard for doctors to view.,A system that detects free parking slots using sensors and displays live availability on a mobile app.,SpO2 Sensor; ESP32; Firebase,IR Sensor; ESP32; Mobile App,"vitals tracking, wearable, cloud sync, patient monitoring","smart parking, iot, sensor, availability",0.131,0.08,0.24,Different,Different,Cross-Domain Distinct,Prof. L. Fernandes,2026-02-05,Completely different domain and objective.
SB0022,PRJ0089,PRJ0021,IoT-based Smart Parking Availability System,IoT-based Garbage Collection Alert System,A system that detects free parking slots using sensors and displays live availability on a mobile app.,A system that monitors bin fill levels city-wide and optimizes garbage truck collection routes.,IR Sensor; ESP32; Mobile App,Sensor Network; Route Optimization; Cloud App,"smart parking, iot, sensor, availability","garbage collection, iot alert, route optimization, smart city",0.633,0.53,0.404,Partially Similar,Partially Similar,Same-Domain Variant,Dr. K. Rao,2026-05-29,"Some overlap in techniques used, but the objectives differ."
SB0023,PRJ0008,PRJ0022,Smart Irrigation System using Soil Moisture Sensors,Smart Waste Bin Fill-Level Monitoring System,An IoT-based system that waters crops automatically when soil moisture drops below a set threshold.,This IoT system tracks how full public waste bins are and alerts collection teams when they need emptying.,Arduino; Soil Moisture Sensor; Relay Pump,Ultrasonic Sensor; IoT Cloud; Dashboard,"smart irrigation, soil moisture, iot, arduino","waste management, iot, fill-level, smart bin",0.139,0.083,0.216,Different,Different,Cross-Domain Distinct,Prof. S. Iyer,2025-08-01,No meaningful overlap between the two projects.
SB0024,PRJ0090,PRJ0020,Crowdfunding Platform for Student Projects,Digital Twin Simulation for Factory Production Line,A web platform where students can create fundraising campaigns for their projects and receive contributions online.,A live virtual replica of a factory line used to monitor and simulate production performance in real time.,MERN Stack; Stripe API,Unity; Python Simulation; Sensor Feed,"crowdfunding, fundraising, student projects, payments","digital twin, factory simulation, unity, monitoring",0.271,0.204,0.292,Different,Different,Cross-Domain Distinct,Prof. L. Fernandes,2025-08-20,Completely different domain and objective.
SB0025,PRJ0021,PRJ0047,IoT-based Garbage Collection Alert System,Blockchain-based Student Council Voting System,A system that monitors bin fill levels city-wide and optimizes garbage truck collection routes.,A voting platform that records votes immutably on a blockchain to prevent tampering in student elections.,Sensor Network; Route Optimization; Cloud App,Ethereum; Solidity Smart Contract,"garbage collection, iot alert, route optimization, smart city","blockchain voting, elections, tamper-proof, smart contract",0.257,0.096,0.271,Different,Different,Cross-Domain Distinct,Prof. S. Iyer,2025-12-06,No meaningful overlap between the two projects.
